id,name,description,clustering_id,created_at,updated_at
167,Spectral 1,Spectral error clustering 1,36,2016-03-02 12:14:23 +0200,2016-03-02 12:14:23 +0200
168,Spectral 2,Spectral error clustering 2,36,2016-03-02 12:14:23 +0200,2016-03-02 12:14:23 +0200
169,Spectral 3,Spectral error clustering 3,36,2016-03-02 12:14:23 +0200,2016-03-02 12:14:23 +0200
170,Spectral 4,Spectral error clustering 4,36,2016-03-02 12:14:23 +0200,2016-03-02 12:14:23 +0200
171,Spectral 0,Spectral error clustering 0,37,2016-03-02 12:14:49 +0200,2016-03-02 12:14:49 +0200
172,Spectral 1,Spectral error clustering 1,37,2016-03-02 12:14:49 +0200,2016-03-02 12:14:49 +0200
173,Spectral 2,Spectral error clustering 2,37,2016-03-02 12:14:49 +0200,2016-03-02 12:14:49 +0200
174,Spectral 3,Spectral error clustering 3,37,2016-03-02 12:14:49 +0200,2016-03-02 12:14:49 +0200
175,Spectral 4,Spectral error clustering 4,37,2016-03-02 12:14:49 +0200,2016-03-02 12:14:49 +0200
176,Spectral 0,Spectral error clustering 0,38,2016-03-02 12:15:12 +0200,2016-03-02 12:15:12 +0200
177,Spectral 1,Spectral error clustering 1,38,2016-03-02 12:15:12 +0200,2016-03-02 12:15:12 +0200
178,Spectral 2,Spectral error clustering 2,38,2016-03-02 12:15:12 +0200,2016-03-02 12:15:12 +0200
179,Spectral 3,Spectral error clustering 3,38,2016-03-02 12:15:12 +0200,2016-03-02 12:15:12 +0200
180,Spectral 4,Spectral error clustering 4,38,2016-03-02 12:15:12 +0200,2016-03-02 12:15:12 +0200
181,"","",39,2016-03-09 16:55:34 +0200,2016-03-09 16:55:34 +0200
183,No buil. info,No building type info.,41,2016-03-24 18:18:26 +0200,2016-03-24 18:18:26 +0200
184,CL: SME,Prosumers with SME building type.,41,2016-03-24 18:18:26 +0200,2016-03-24 18:18:26 +0200
185,CL: Industry,Prosumers with Industry building type.,41,2016-03-24 18:18:26 +0200,2016-03-24 18:18:26 +0200
186,CL: Factory,Prosumers with Factory building type.,41,2016-03-24 18:18:26 +0200,2016-03-24 18:18:26 +0200
187,CL: VIMSEN Gateways,A cluster that consists of the VIMSEN prosumers,41,2016-03-24 18:18:26 +0200,2016-03-24 18:18:26 +0200
193,Spectral 0,Spectral error clustering 0,43,2016-04-14 11:04:54 +0300,2016-04-14 11:04:54 +0300
194,Spectral 1,Spectral error clustering 1,43,2016-04-14 11:04:54 +0300,2016-04-14 11:04:54 +0300
195,Spectral 2,Spectral error clustering 2,43,2016-04-14 11:04:54 +0300,2016-04-14 11:04:54 +0300
196,Spectral 3,Spectral error clustering 3,43,2016-04-14 11:04:54 +0300,2016-04-14 11:04:54 +0300
197,Spectral 4,Spectral error clustering 4,43,2016-04-14 11:04:54 +0300,2016-04-14 11:04:54 +0300
203,Spectral 0,Spectral error clustering 0,45,2016-04-19 17:24:53 +0300,2016-04-19 17:24:53 +0300
204,Spectral 1,Spectral error clustering 1,45,2016-04-19 17:24:53 +0300,2016-04-19 17:24:53 +0300
205,Spectral 2,Spectral error clustering 2,45,2016-04-19 17:24:53 +0300,2016-04-19 17:24:53 +0300
206,Spectral 3,Spectral error clustering 3,45,2016-04-19 17:24:53 +0300,2016-04-19 17:24:53 +0300
207,Spectral 4,Spectral error clustering 4,45,2016-04-19 17:24:53 +0300,2016-04-19 17:24:53 +0300
140,Loc: 0,Location based cluster 0.,31,2016-03-02 10:53:00 +0200,2016-03-02 10:53:00 +0200
141,Loc: 1,Location based cluster 1.,31,2016-03-02 10:53:00 +0200,2016-03-02 10:53:00 +0200
142,Loc: 2,Location based cluster 2.,31,2016-03-02 10:53:00 +0200,2016-03-02 10:53:00 +0200
143,Loc: 3,Location based cluster 3.,31,2016-03-02 10:53:00 +0200,2016-03-02 10:53:00 +0200
144,Loc: 4,Location based cluster 4.,31,2016-03-02 10:53:00 +0200,2016-03-02 10:53:00 +0200
145,No loc.,Prosumers with no Location info available.,31,2016-03-02 10:53:00 +0200,2016-03-02 10:53:00 +0200
146,Dr: 0,Demand Response based cluster 0,32,2016-03-02 10:53:18 +0200,2016-03-02 10:53:18 +0200
147,Dr: 1,Demand Response based cluster 1,32,2016-03-02 10:53:18 +0200,2016-03-02 10:53:18 +0200
148,Dr: 2,Demand Response based cluster 2,32,2016-03-02 10:53:18 +0200,2016-03-02 10:53:18 +0200
149,Dr: 3,Demand Response based cluster 3,32,2016-03-02 10:53:18 +0200,2016-03-02 10:53:18 +0200
150,Dr: 4,Demand Response based cluster 4,32,2016-03-02 10:53:18 +0200,2016-03-02 10:53:18 +0200
161,Spectral 0,Spectral error clustering 0,35,2016-03-02 12:13:57 +0200,2016-03-02 12:13:57 +0200
162,Spectral 1,Spectral error clustering 1,35,2016-03-02 12:13:57 +0200,2016-03-02 12:13:57 +0200
163,Spectral 2,Spectral error clustering 2,35,2016-03-02 12:13:57 +0200,2016-03-02 12:13:57 +0200
164,Spectral 3,Spectral error clustering 3,35,2016-03-02 12:13:57 +0200,2016-03-02 12:13:57 +0200
165,Spectral 4,Spectral error clustering 4,35,2016-03-02 12:13:57 +0200,2016-03-02 12:13:57 +0200
182,"","",40,2016-03-10 10:36:11 +0200,2016-03-10 10:36:11 +0200
188,Spectral 0,Spectral error clustering 0,42,2016-04-12 14:21:26 +0300,2016-04-12 14:21:26 +0300
189,Spectral 1,Spectral error clustering 1,42,2016-04-12 14:21:26 +0300,2016-04-12 14:21:26 +0300
190,Spectral 2,Spectral error clustering 2,42,2016-04-12 14:21:26 +0300,2016-04-12 14:21:26 +0300
191,Spectral 3,Spectral error clustering 3,42,2016-04-12 14:21:26 +0300,2016-04-12 14:21:26 +0300
192,Spectral 4,Spectral error clustering 4,42,2016-04-12 14:21:26 +0300,2016-04-12 14:21:26 +0300
198,Spectral 0,Spectral error clustering 0,44,2016-04-14 11:17:19 +0300,2016-04-14 11:17:19 +0300
199,Spectral 1,Spectral error clustering 1,44,2016-04-14 11:17:19 +0300,2016-04-14 11:17:19 +0300
200,Spectral 2,Spectral error clustering 2,44,2016-04-14 11:17:19 +0300,2016-04-14 11:17:19 +0300
201,Spectral 3,Spectral error clustering 3,44,2016-04-14 11:17:19 +0300,2016-04-14 11:17:19 +0300
202,Spectral 4,Spectral error clustering 4,44,2016-04-14 11:17:19 +0300,2016-04-14 11:17:19 +0300
208,Spectral 0,Spectral error clustering 0,46,2016-04-21 16:43:01 +0300,2016-04-21 16:43:01 +0300
209,Spectral 1,Spectral error clustering 1,46,2016-04-21 16:43:01 +0300,2016-04-21 16:43:01 +0300
210,Spectral 2,Spectral error clustering 2,46,2016-04-21 16:43:01 +0300,2016-04-21 16:43:01 +0300
211,Spectral 3,Spectral error clustering 3,46,2016-04-21 16:43:01 +0300,2016-04-21 16:43:01 +0300
212,Spectral 4,Spectral error clustering 4,46,2016-04-21 16:43:01 +0300,2016-04-21 16:43:01 +0300
